description,title,price,category,image
AH-884-213,Ножницы VETTA кухонные с орехоколом и открывалкой 21см. - 884-213 (240шт),87.780000000000001,"Кухонные принадлежности > Кухонные ножи и ножницы, Кухонные принадлежности",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0bdd0b8d186d18b-vetta-d0bad183d185d0bed0bdd0bdd18bd0b5-d181-d0bed180d0b5d185d0bed0bad0bed0bbd0bed0bc-d0b8-d0bed182d0bad180.jpg
AH-297,Ножницы для барана электрическая AH-297(5шт),99932907600000,"Товары для дома и дачи > Ножницы, Товары для дома и дачи",https://hoz-mos.ru/wp-content/uploads/2023/10/d0bdd0bed0b6d0bdd0b8d186d18b-d0b4d0bbd18f-d0b1d0b0d180d0b0d0bdd0b0-d18dd0bbd0b5d0bad182d180d0b8d187d0b5d181d0bad0b0d18f-ah-2975d188d182.jpg
BSY-8009B,Ножницы для стрижки овец  BSY-8009B(60шт),345.35000000000002,"Товары для дома и дачи > Садовый инвентарь, Товары для дома и дачи",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0bdd0b8d186d18b-d0b4d0bbd18f-d181d182d180d0b8d0b6d0bad0b8-d0bed0b2d0b5d186-bsy-8009b60d188d182.jpg
BSY-8011,Ножницы для стрижки овец BSY-8011(96шт),199.81999999999999,"Товары для дома и дачи > Садовый инвентарь, Товары для дома и дачи",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0bdd0b8d186d18b-d0b4d0bbd18f-d181d182d180d0b8d0b6d0bad0b8-d0bed0b2d0b5d186-bsy-801196d188d182.jpg
AH001-HK,Ножницы кондитерские с двумя насадками для крема  AH001-HK,69.780000000000001,Кондитерские аксессуары,https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0bdd0b8d186d18b-d0bad0bed0bdd0b4d0b8d182d0b5d180d181d0bad0b8d0b5-d181-d0b4d0b2d183d0bcd18f-d0bdd0b0d181d0b0d0b4d0bad0b0.jpg
MR-201-PINK,"Фен MAESTRO, MR-201-PINK",613.02999999999997,"Бытовые электроприборы, Бытовые электроприборы > Фены и плойки",https://hoz-mos.ru/wp-content/uploads/2023/10/mr-201-pink-d184d0b5d0bd-maestro.jpg
МS-712,Ножницы кухонные  металлические хром,225.75,"Кухонные принадлежности > Кухонные ножи и ножницы, Кухонные принадлежности",https://hoz-mos.ru/wp-content/uploads/2025/03/nozhniczy-kuhonnye-metallicheskie-s-cher.jpg
MR-205-BLACK,Фен MAESTRO MR-205-BLACK,763.41999999999996,"Бытовые электроприборы, Бытовые электроприборы > Фены и плойки",https://hoz-mos.ru/wp-content/uploads/2023/10/mr-205-black-d184d0b5d0bd-maestro.jpg
AH4-74,Ножницы кухонные SCISSORS с желто-оранжевой ручкой AH4-74(144шт),155.94999999999999,"Кухонные принадлежности > Кухонные ножи и ножницы, Кухонные принадлежности",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0bdd0b8d186d18b-d0bad183d185d0bed0bdd0bdd18bd0b5-scissors-d181-d0b6d0b5d0bbd182d0be-d0bed180d0b0d0bdd0b6d0b5d0b2d0bed0b9-d180.jpg
MR-209-BROWN,"Фен MAESTRO, MR-209-BROWN",801.59000000000003,"Бытовые электроприборы, Бытовые электроприборы > Фены и плойки",https://hoz-mos.ru/wp-content/uploads/2023/10/mr-209-brown-d184d0b5d0bd-maestro.jpg
AH4-73,"Ножницы кухонные SCISSORS, черная речка AH4-73(144шт)",219.41999999999999,"Кухонные принадлежности > Кухонные ножи и ножницы, Кухонные принадлежности",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0bdd0b8d186d18b-d0bad183d185d0bed0bdd0bdd18bd0b5-scissors-d187d0b5d180d0bdd0b0d18f-d180d0b5d187d0bad0b0-ah4-73144d188d182.jpg
MR-212,"Фен MAESTRO, мощность 2000 Вт, MR-212",1014.58,"Бытовые электроприборы, Бытовые электроприборы > Фены и плойки",https://hoz-mos.ru/wp-content/uploads/2023/10/mr-212-d184d0b5d0bd-2000-d0b2d182-maestro.jpg
AH-ZK012,Ножницы кухонные металлические BH-51 - AH-ZK012(288шт),178.5,"Кухонные принадлежности > Кухонные ножи и ножницы, Кухонные принадлежности",https://hoz-mos.ru/wp-content/uploads/2024/11/nozhniczy-kuhonnye-metallicheskie-ah-zk012288sht.jpg
 871-199,Нож для мяса 8м. - TRAMONTINA MULTICOLOR 871-199  23521/013,89.25,"Кухонные принадлежности > Кухонные ножи и ножницы, Кухонные принадлежности",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6-d0b4d0bbd18f-d0bcd18fd181d0b0-8d0bc-tramontina-multicolor-871-199-23521-013.jpg
MR-214,"Фен MAESTRO, MR-214",1212.3099999999999,"Бытовые электроприборы, Бытовые электроприборы > Фены и плойки",https://hoz-mos.ru/wp-content/uploads/2023/10/mr-214-d184d0b5d0bd-maestro.jpg
AH-NM-003,Ножницы кухонные на магнитном кейсе AH-NM-003,164.00999999999999,"Кухонные принадлежности > Кухонные ножи и ножницы, Кухонные принадлежности",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0bdd0b8d186d18b-d0bad183d185d0bed0bdd0bdd18bd0b5-d0bdd0b0-d0bcd0b0d0b3d0bdd0b8d182d0bdd0bed0bc-d0bad0b5d0b9d181d0b5-ah-nm-003.jpg
MR-259,"Щипцы MAESTRO для волос-плойка, MR-259",916.10000000000002,"Бытовые электроприборы, Бытовые электроприборы > Фены и плойки",https://hoz-mos.ru/wp-content/uploads/2023/10/mr-259-d184d0b5d0bd-maestro-d0bfd0bbd0bed0b9d0bad0b0.jpg
UV-1043,Ножницы многофункциональный с магнитом BH-1043 240шт,150,,https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0bdd0b8d186d18b-d0bcd0bdd0bed0b3d0bed184d183d0bdd0bad186d0b8d0bed0bdd0b0d0bbd18cd0bdd18bd0b9-d181-d0bcd0b0d0b3d0bdd0b8.jpg
AH-169-C,Ножницы садовая с раскладной ручкой AH-169-C (30шт),438.89999999999998,"Хозяйственные товары > Секаторы и ножовки, Хозяйственные товары",https://hoz-mos.ru/wp-content/uploads/2023/10/d0bdd0bed0b6d0bdd0b8d186d18b-d181d0b0d0b4d0bed0b2d0b0d18f-d181-d180d0b0d181d0bad0bbd0b0d0b4d0bdd0bed0b9-d180d183d187d0bad0bed0b9-ah-169-c.jpg
AH-NM-004,Ножницы универсальные с чехлом - BH-41034 (144шт),177.87,"Кухонные принадлежности > Кухонные ножи и ножницы, Кухонные принадлежности",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0bdd0b8d186d18b-d183d0bdd0b8d0b2d0b5d180d181d0b0d0bbd18cd0bdd18bd0b5-d181-d187d0b5d185d0bbd0bed0bc-ah-nm-004-144d188d182.jpg
MR-300C-BLUE,"Утюг MAESTRO, MR-300C-BLUE",922.97000000000003,"Бытовые электроприборы, Бытовые электроприборы > Утюги и отпариватели",https://hoz-mos.ru/wp-content/uploads/2023/10/mr-300c-blue-d183d182d18ed0b3-maestro.jpg
MR-302C,"Утюг MAESTRO, MR-302C",1267.28,"Бытовые электроприборы, Бытовые электроприборы > Утюги и отпариватели",https://hoz-mos.ru/wp-content/uploads/2023/10/mr-302c-d183d182d18ed0b3-maestro.jpg
MR-303C,"Утюг MAESTRO, MR-303C",1358.8900000000001,"Бытовые электроприборы, Бытовые электроприборы > Утюги и отпариватели",
G-559,Ножовка по дереву с защитником G-559(60шт),180.18000000000001,"Товары для дома и дачи > Садовый инвентарь, Товары для дома и дачи",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0bed0b2d0bad0b0-d0bfd0be-d0b4d0b5d180d0b5d0b2d183-d181-d0b7d0b0d189d0b8d182d0bdd0b8d0bad0bed0bc-g-55960d188d182.png
663-340,Ножовка по металлу (малая) - РОКОТ 663-340,38,Электротовары и ремонт > Строительные инструменты,https://hoz-mos.ru/wp-content/uploads/2023/10/d0bdd0bed0b6d0bed0b2d0bad0b0-d0bfd0be-d0bcd0b5d182d0b0d0bbd0bbd183-d0bcd0b0d0bbd0b0d18f-d180d0bed0bad0bed182-663-340.jpg
MR-308C,"Утюг MAESTRO, MR-308C",1726.23,"Бытовые электроприборы, Бытовые электроприборы > Утюги и отпариватели",https://hoz-mos.ru/wp-content/uploads/2023/10/mr-308c-d183d182d18ed0b3-maestro.jpg
G-30,Ножовка по металлу G-30(60шт),99.280000000000001,"Электротовары и ремонт > Строительные инструменты, Электротовары и ремонт",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0bed0b2d0bad0b0-d0bfd0be-d0bcd0b5d182d0b0d0bbd0bbd183-g-3060d188d182.jpg
MR-31066-04,MR-31066-04 Тарелка ? 25см  Васильки,124.92,"Бытовые электроприборы, Бытовые электроприборы > Утюги и отпариватели",
G-31,Ножовка по металлу складная G-31(60шт),107.42,"Электротовары и ремонт > Строительные инструменты, Электротовары и ремонт",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bdd0bed0b6d0bed0b2d0bad0b0-d0bfd0be-d0bcd0b5d182d0b0d0bbd0bbd183-d181d0bad0bbd0b0d0b4d0bdd0b0d18f-g-3160d188d182.jpg
MR-317T,"Утюг MAESTRO, дорожный, MR-317T",1099.3199999999999,"Бытовые электроприборы, Бытовые электроприборы > Утюги и отпариватели",https://hoz-mos.ru/wp-content/uploads/2023/10/mr-317t-d183d182d18ed0b3-d0b4d0bed180d0bed0b6d0bdd18bd0b9-maestro.jpg
663-746,Ножовка РОКОТ с синей ручкой по металлу - 663-476,112,Электротовары и ремонт > Инструменты,https://hoz-mos.ru/wp-content/uploads/2023/10/d0bdd0bed0b6d0bed0b2d0bad0b0-d180d0bed0bad0bed182-d181-d181d0b8d0bdd0b5d0b9-d180d183d187d0bad0bed0b9-d0bfd0be-d0bcd0b5d182d0b0d0bbd0bb.jpg
MR-3510-14S,"Ковш MAESTRO, диаметр 14 см, 1 литр, MR-3510-14S",955.24000000000001,"Бытовые электроприборы, Бытовые электроприборы > Утюги и отпариватели",
MR-3519-16S,"Ковш MAESTRO, диаметр 16 см, 1,8 литра, MR-3519-16S",1191.76,"Бытовые электроприборы, Бытовые электроприборы > Утюги и отпариватели",
MR-402-BLACK,"Кофеварка Maestro, MR-402-BLACK",1307.74,Бытовые электроприборы,https://hoz-mos.ru/wp-content/uploads/2023/10/mr-402-black-d0bad0bed184d0b5d0b2d0b0d180d0bad0b0-maestro.jpg
AH-W-1,Обжим для сетевого кабеля rj45 rj35 - WJ-315,287.60000000000002,"Электротовары и ремонт > Строительные инструменты, Электротовары и ремонт",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b1d0b6d0b8d0bc-d0b4d0bbd18f-d181d0b5d182d0b5d0b2d0bed0b3d0be-d0bad0b0d0b1d0b5d0bbd18f-rj45-rj35-wj-315.jpg
ЛБ-131,Овощедержатель оранжевый лБ-131,68.25,"Кухонные принадлежности, Кухонные принадлежности > Терки и овощерезки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d0b4d0b5d180d0b6d0b0d182d0b5d0bbd18c-d0bed180d0b0d0bdd0b6d0b5d0b2d18bd0b9-d0bbd0b1-131.jpg
ТО,Овощерезка  (Орел) без подставки,522.05999999999995,"Кухонные принадлежности, Кухонные принадлежности > Терки и овощерезки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d180d0b5d0b7d0bad0b0-d0bed180d0b5d0bb-d0b1d0b5d0b7-d0bfd0bed0b4d181d182d0b0d0b2d0bad0b8.jpg
AH-16915,Овощерезка  POTATO CUTTER рифленая,69.780000000000001,"Кухонные принадлежности, Кухонные принадлежности > Терки и овощерезки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d180d0b5d0b7d0bad0b0-potato-cutter-d180d0b8d184d0bbd0b5d0bdd0b0d18f.jpg
ЛБ-119,Овощерезка LIBRA PLAST с контейнером и с шестью насадками  - ЛБ-119,525,"Кухонные принадлежности, Кухонные принадлежности > Терки и овощерезки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d180d0b5d0b7d0bad0b0-libra-plast-d181-d0bad0bed0bdd182d0b5d0b9d0bdd0b5d180d0bed0bc-d0b8-d181-d188d0b5d181d182d18cd18e.jpg
AH3-14,Овощерезка MLYNCEK 5в1   с металлическим барабаном - AH3-14 (12шт),1180,"Кухонные принадлежности, Кухонные принадлежности > Терки и овощерезки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d180d0b5d0b7d0bad0b0-mlyncek-5d0b21-d181-d0bcd0b5d182d0b0d0bbd0bbd0b8d187d0b5d181d0bad0b8d0bc-d0b1d0b0d180d0b0d0b1.jpg
ЛБ-145,ОВОЩЕРЕЗКА в коробке Рыжая 6 ЛБ-145,330,"Кухонные принадлежности, Кухонные принадлежности > Терки и овощерезки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d180d0b5d0b7d0bad0b0-d0b2-d0bad0bed180d0bed0b1d0bad0b5-d180d18bd0b6d0b0d18f-6-d0bbd0b1-145.jpg
LV-48 AH-131,Овощерезка для салата LV-48 ZF-1013(96шт),105.11,"Кухонные принадлежности, Кухонные принадлежности > Терки и овощерезки",https://hoz-mos.ru/wp-content/uploads/2024/11/ovoshherezka-dlya-salata-lv-48-ah-13196sht.jpg
AH-TV-14,Овощерезка ручная AH-TV-14(24шт),457.20999999999998,"Кухонные принадлежности, Кухонные принадлежности > Терки и овощерезки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d180d0b5d0b7d0bad0b0-d180d183d187d0bdd0b0d18f-ah-tv-1424d188d182.jpg
ЛБ-138,Овощерезка с 1 насадкой - ЛБ-138,70,"Кухонные принадлежности, Кухонные принадлежности > Терки и овощерезки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d180d0b5d0b7d0bad0b0-d181-1-d0bdd0b0d181d0b0d0b4d0bad0bed0b9-d0bbd0b1-138.jpg
ЛБ-134,Овощерезка с 5 насадками (оранжевый) - ЛБ-134,158,"Кухонные принадлежности, Кухонные принадлежности > Терки и овощерезки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d180d0b5d0b7d0bad0b0-d181-5-d0bdd0b0d181d0b0d0b4d0bad0b0d0bcd0b8-d0bed180d0b0d0bdd0b6d0b5d0b2d18bd0b9-d0bbd0b1-134.jpg
ЛБ-144,Овощерезка с 6 насадками (белый) - ЛБ-144,351.75,"Кухонные принадлежности, Кухонные принадлежности > Терки и овощерезки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d180d0b5d0b7d0bad0b0-d181-6-d0bdd0b0d181d0b0d0b4d0bad0b0d0bcd0b8-d0b1d0b5d0bbd18bd0b9-d0bbd0b1-144.jpg
ЛБ-147,Овощерезка с 7 насадками (черный) - ЛБ-147,415.80000000000001,"Кухонные принадлежности, Кухонные принадлежности > Терки и овощерезки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d180d0b5d0b7d0bad0b0-d181-7-d0bdd0b0d181d0b0d0b4d0bad0b0d0bcd0b8-d187d0b5d180d0bdd18bd0b9-d0bbd0b1-147.jpg
ТОП,Овощерезка с подставкой (Орел) - ТОП,574.03999999999996,"Кухонные принадлежности, Кухонные принадлежности > Терки и овощерезки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d180d0b5d0b7d0bad0b0-d181-d0bfd0bed0b4d181d182d0b0d0b2d0bad0bed0b9-d0bed180d0b5d0bb-d182d0bed0bf.jpg
ЛБ-137,Овощерезка с тремя насадками (оранжевый) - ЛБ-137,102.70999999999999,"Кухонные принадлежности, Кухонные принадлежности > Терки и овощерезки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d180d0b5d0b7d0bad0b0-d181-d182d180d0b5d0bcd18f-d0bdd0b0d181d0b0d0b4d0bad0b0d0bcd0b8-d0bed180d0b0d0bdd0b6d0b5d0b2.jpg
ЛБ-142,Овощерезка с шестью насадками (красный) - ЛБ-142,165,"Кухонные принадлежности, Кухонные принадлежности > Терки и овощерезки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d180d0b5d0b7d0bad0b0-d181-d188d0b5d181d182d18cd18e-d0bdd0b0d181d0b0d0b4d0bad0b0d0bcd0b8-d0bad180d0b0d181d0bdd18b.jpg
ЛБ-136,Овощерезка-шинковка для капусты - ЛБ-136,330.32999999999998,"Кухонные принадлежности, Кухонные принадлежности > Терки и овощерезки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d180d0b5d0b7d0bad0b0-d188d0b8d0bdd0bad0bed0b2d0bad0b0-d0b4d0bbd18f-d0bad0b0d0bfd183d181d182d18b-d0bbd0b1-136.jpg
803-131,Овощечистка   - SATOSHI КАТТО 803-131,48.299999999999997,"Кухонные принадлежности, Кухонные принадлежности > Овощечистки и рыбочистки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d187d0b8d181d182d0bad0b0-satoshi-d0bad0b0d182d182d0be-803-131.jpg
AH-8323,Овощечистка  Harry Kitchen из нержавеющей стали с Толстой ручкой AH-8323 (216шт),181.34,"Кухонные принадлежности, Кухонные принадлежности > Овощечистки и рыбочистки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d187d0b8d181d182d0bad0b0-harry-kitchen-d0b8d0b7-d0bdd0b5d180d0b6d0b0d0b2d0b5d18ed189d0b5d0b9-d181d182d0b0d0bbd0b8-d181.jpg
872-140,Овощечистка - TRAMONTINA UTILITA  872-140 25627/110,193.19999999999999,"Кухонные принадлежности, Кухонные принадлежности > Овощечистки и рыбочистки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d187d0b8d181d182d0bad0b0-tramontina-utilita-872-140-25627-110.jpg
LV-30,Овощечистка 3в1 (с открывалкой),41.579999999999998,"Кухонные принадлежности, Кухонные принадлежности > Овощечистки и рыбочистки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d187d0b8d181d182d0bad0b0-3d0b21-d181-d0bed182d0bad180d18bd0b2d0b0d0bbd0bad0bed0b9.jpg
BY-318,Овощечистка 3в1 BY-318(240шт),64.200000000000003,"Кухонные принадлежности, Кухонные принадлежности > Овощечистки и рыбочистки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d187d0b8d181d182d0bad0b0-3d0b21-by-318240d188d182.jpg
AV-90,Овощечистка 6в1 BH-6380A 240шт,66,"Кухонные принадлежности, Кухонные принадлежности > Овощечистки и рыбочистки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d187d0b8d181d182d0bad0b0-6d0b21-av-90240d188d182.jpg
 509- X8,Набор кондитерская 9шт 509- X8 (288шт),60.899999999999999,Кондитерские аксессуары,https://hoz-mos.ru/wp-content/uploads/2024/11/nabor-konditerskaya-9sht.jpg
AH-8325,Овощечистка Harry Kitchen с 3в1 из нержавеющей стали AH-8325 (216шт),181.34,"Кухонные принадлежности, Кухонные принадлежности > Овощечистки и рыбочистки",https://hoz-mos.ru/wp-content/uploads/2024/11/d0bed0b2d0bed189d0b5d187d0b8d181d182d0bad0b0-harry-kitchen-d181-3d0b21-d0b8d0b7-d0bdd0b5d180d0b6d0b0d0b2d0b5d18ed189d0b5d0b9-d181d182d0b0.jpg
